Jahr;t_co2_t;prod_1000t;n_werke;n_pm
1990;;12772
1995;0,955;14813
2000;0,835;18160;184;376
2005;0,862;21652
2006;0,858;22629
2007;0,830;23289
2008;0,813;22767
2009;0,814;20844
2010;0,813;23046;167;293
2011;0,748;22678
2012;0,724;22602
2013;0,702;22401
2014;0,673;22540;162;
2015;0,650;22601;162;278
2016;0,622;22632;161;
2017;0,618;22925;158;
2018;0,609;22682;155;266
2019;0,593;22080;153;260
2020;0,555;21348;152;260
2021;0,554;23128;149;257
2022;0,546;21612;144;248
2023;0,526;18636;142;243
2024;0,488;19191;140;235
